Id	Label	Size
1	Kako	1
2	Squidy	1
3	Herman Hermann	2
4	Nancy Reagan	1
5	Marge Simpson	21
6	Milhouse Van Houten	13
7	Abraham Simpson	17
8	Sarah Wiggum	1
9	Barney Gumble	16
10	Methuselah	1
11	Groundskeeper Willie	9
12	David Crosby	1
13	Irish man	2
14	Lenny Leonard	11
15	Jasper Beardly	7
16	Comic Book Guy	2
17	Joseph of Aramathea	1
18	Leon Kompowsky	1
19	Homer Simpson	22
20	Santa's Little Helper	10
21	Aerosmith	1
22	Horatio McCallister	4
23	Krusty the Clown	8
24	Bart Simpson	22
25	Old Jewish Man	2
26	Martha Prince	1
27	Clancy Wiggum	10
28	Queenie	1
29	Spinal Tap	1
30	Moe Szyslak	13
31	Timothy Lovejoy, Jr.	5
32	Rafael	1
33	Nelson Muntz	11
34	Dame Edna	1
35	St. Barnabus	1
36	Bob Hope	1
37	Lisa Simpson	22
38	Seymour Skinner	13
39	Human Fly	1
40	Lou	7
41	"Just stamp the ticket" man	4
42	Joe Quimby	10
43	Ned Flanders	15
44	Maggie Simpson	22
45	Carl Carlson	9
46	George Harrison	1
47	Apu Nahasapeemapetilon	11
48	Nigel	1
49	Snake Jailbird	9
50	Snowball II	8
51	Ronald Reagan	1
52	Alice Glick	1
53	Bleeding Gums Murphy	2
54	Dexy's Midnight Runners	1
55	Terri Mackleberry	6
56	General Krull	1
57	Witness relocation man 2	1
58	Scratchy	3
59	Sideshow Bob	1
60	Ben Matlock	2
61	Maude Flanders	6
62	Blue-haired lawyer	3
63	Sherri Mackleberry	6
64	Anya	1
65	Patty Bouvier	11
66	Eddie	6
67	Opper Couper-Ferur Wolfcastle	1
68	Witness relocation man 1	1
69	Dennis the Menace	1
70	Edna Krabappel	10
71	Selma Bouvier	11
72	Martin Prince, Jr.	7
73	Rainier Wolfcastle	2
74	Persuasive man	1
75	Scoey	1
76	Itchy	3
77	Lizzie Borden	2
78	Bobby Peterson	1
79	Doug	1
80	Springfield University student	1
81	Gary	1
82	Charles Montgomery Burns	14
83	Waylon Smithers, Jr.	11
84	Sir Oinks-A-Lot	1
85	Krusty	1
86	Richard Nixon	2
87	Nuclear inspectors	1
88	Nuclear physics professor	1
89	Benjamin	1
90	Sanjay Nahasapeemapetilon	4
91	Nick Riviera	2
92	Agnes Skinner	3
93	Fat Tony	2
94	Daphne Burns	1
95	Jonathan Frink	3
96	Kearney Zzyzwicz	7
97	Barney the Dinosaur	1
98	Bernice Hibbert	2
99	Clifford Burns	1
100	Jimbo Jones	7
101	Julius Hibbert	8
102	The Devil	1
103	Lionel Hutz	9
104	Dolph Starbeam	4
105	Kirk Van Houten	4
106	Bumblebee Man	2
107	Elizabeth Hoover	6
108	Luann Van Houten	4
109	Charles Montgomery Burns' adoptive father	1
110	Jack Marley	1
111	Otto Mann	9
112	Ramones	1
113	George H. W. Bush	2
114	Helen Lovejoy	5
115	Charles Lindbergh	1
116	Kent Brockman	13
117	Jasper Beardley	1
118	Adolf Hitler	1
119	Janey Powell	4
120	Ralph Wiggum	4
121	Flanders the Devil	1
122	Benedict Arnold	1
123	Martin Prince	2
124	John Dillinger	1
125	Blackbeard	1
126	Adrian	4
127	Waylon Smithers	1
128	Melissa	4
129	Girl with glasses	2
130	Kang	1
131	Wendell Borton	5
132	Kodos	1
133	Gremlin	1
134	Count Burns	1
135	Buck-toothed boy	2
136	Üter Zörker	1
137	Yellow weasel	2
138	Hans Moleman	8
139	John Wilkes Booth	1
140	Laura Powers	1
141	Sven Inqvist	1
142	Ms. Norton	1
143	Ruth Powers	2
144	Sam	1
145	Troy McClure	3
146	Can Owner	1
147	Larry	1
148	Sideshow Mel	3
149	Richard	3
150	Helen Feesh	1
151	Dave Shutton	1
152	Todd Flanders	3
153	Jamshed Nahasapeemapetilon	1
154	McGarnigale	2
155	James Brown	1
156	Marvin Monroe	1
157	Dewey Largo	2
158	Lewis Clark	4
159	J. Loren Pyror	1
160	Rod Flanders	4
161	Brad Goodman	1
162	Pahusacheta Nahasapeemapetilon	1
163	Warren	1
164	Sailor	1
165	Gummy Joe	1
166	Junior Camper	1
167	Lucille Botzcowski	3
168	Ernest Borgnine	1
169	Bellboy	1
170	E-mail	1
171	Colonel Klink	1
172	Isaac Newton	1
173	Charlie	1
174	Ziggy	1
175	Mindy Simmons	1
176	Jeeves	1
177	Smilin' Joe Fission	1
178	Menachem Begin	1
179	Stewart	1
180	Joey Jo-Jo Junior Shabadoo	2
181	Zutroy	1
182	Guy with big hand	1
183	Scott Christian	3
184	Gunter	1
185	Anastasia	1
186	The Rich Texan	1
187	Gerry Cooney	1
188	Ernst	1
189	Squeaky-voiced teen	1
190	Liza Minnelli	1
191	Mikhail Gorbachev	1
192	Krusty the Klown	1
193	Timothy Lovejoy	1
194	Robert Goulet	1
195	Captain McCallister	1
196	Malloy	1
197	Martin Prince, Sr.	1
198	Corporal Punishment	1
199	Tina Ballerina	1
200	Kitty Carlisle	1
201	Spike Lee	1
202	Loni Anderson	1
203	Martha Quimby	1
204	Conan O'Brien	1
205	Mr. Teeny	1
206	Farrah Fawcett-Majors-O'Neal-Varney	1
207	Miss Springfield	1
208	Kwik-E-Mart inspector	1
209	Robber	1
210	James Woods	1
211	Jacques	2
212	Dr. J. Loren Pryor	1
213	Kwik-E-Mart president	1
214	Doctor Colossus	1
215	Andy Griffith	1
216	Claire Harper	1
