Source	Target	Weight	Type
48	54	2	Undirected
28	40	2	Undirected
132	282	2	Undirected
34	104	7	Undirected
60	312	1	Undirected
438	454	1	Undirected
295	302	1	Undirected
7	49	1	Undirected
34	37	1	Undirected
365	375	1	Undirected
2	257	1	Undirected
135	470	1	Undirected
457	475	1	Undirected
22	42	1	Undirected
152	314	2	Undirected
194	195	1	Undirected
132	298	1	Undirected
452	482	1	Undirected
76	443	1	Undirected
134	458	1	Undirected
96	281	1	Undirected
110	516	1	Undirected
25	60	6	Undirected
186	214	2	Undirected
60	170	1	Undirected
112	278	1	Undirected
130	192	1	Undirected
47	68	1	Undirected
70	486	1	Undirected
123	204	1	Undirected
152	446	1	Undirected
35	264	3	Undirected
208	451	1	Undirected
227	228	1	Undirected
78	200	1	Undirected
129	150	1	Undirected
356	362	1	Undirected
127	464	1	Undirected
9	240	1	Undirected
121	521	1	Undirected
517	521	1	Undirected
143	328	1	Undirected
514	517	1	Undirected
325	333	1	Undirected
100	137	4	Undirected
102	161	2	Undirected
93	216	1	Undirected
25	144	3	Undirected
137	264	3	Undirected
119	470	1	Undirected
8	37	1	Undirected
97	131	1	Undirected
394	395	1	Undirected
74	97	4	Undirected
271	307	2	Undirected
110	298	1	Undirected
98	123	9	Undirected
149	501	1	Undirected
76	106	1	Undirected
35	326	1	Undirected
408	413	1	Undirected
186	473	1	Undirected
117	119	6	Undirected
87	144	1	Undirected
123	140	1	Undirected
100	229	1	Undirected
99	115	1	Undirected
64	442	1	Undirected
131	144	2	Undirected
23	277	1	Undirected
70	403	1	Undirected
394	397	1	Undirected
10	156	1	Undirected
2	225	1	Undirected
244	475	1	Undirected
121	252	1	Undirected
126	313	1	Undirected
213	445	1	Undirected
199	461	2	Undirected
25	104	2	Undirected
217	500	1	Undirected
401	408	1	Undirected
439	445	1	Undirected
49	56	1	Undirected
224	237	1	Undirected
227	249	1	Undirected
210	424	1	Undirected
55	178	2	Undirected
117	527	1	Undirected
33	446	1	Undirected
31	61	1	Undirected
46	82	1	Undirected
448	454	1	Undirected
81	311	1	Undirected
20	52	1	Undirected
104	185	1	Undirected
210	520	1	Undirected
74	471	1	Undirected
34	353	1	Undirected
42	68	1	Undirected
91	334	1	Undirected
120	146	2	Undirected
91	473	1	Undirected
54	60	11	Undirected
3	65	1	Undirected
284	482	1	Undirected
50	196	1	Undirected
122	149	4	Undirected
137	246	1	Undirected
54	464	1	Undirected
132	437	1	Undirected
25	120	4	Undirected
199	282	2	Undirected
121	145	14	Undirected
110	175	3	Undirected
235	247	1	Undirected
440	452	1	Undirected
34	490	1	Undirected
289	461	1	Undirected
380	383	1	Undirected
126	483	1	Undirected
24	334	1	Undirected
98	141	4	Undirected
50	487	1	Undirected
55	151	4	Undirected
64	483	1	Undirected
109	192	1	Undirected
451	453	1	Undirected
387	388	1	Undirected
3	313	2	Undirected
425	430	1	Undirected
3	410	1	Undirected
86	90	1	Undirected
297	452	1	Undirected
34	394	1	Undirected
141	439	1	Undirected
16	97	1	Undirected
145	263	5	Undirected
60	503	1	Undirected
107	135	6	Undirected
274	276	1	Undirected
29	66	1	Undirected
122	301	1	Undirected
239	240	1	Undirected
99	243	1	Undirected
3	364	1	Undirected
35	453	1	Undirected
60	274	1	Undirected
152	292	1	Undirected
33	102	3	Undirected
28	185	4	Undirected
149	201	1	Undirected
98	118	9	Undirected
64	227	1	Undirected
63	320	1	Undirected
242	297	2	Undirected
9	98	5	Undirected
274	289	1	Undirected
112	252	1	Undirected
109	448	1	Undirected
142	281	1	Undirected
3	452	2	Undirected
362	366	1	Undirected
72	470	1	Undirected
22	28	1	Undirected
133	319	1	Undirected
153	204	1	Undirected
121	192	1	Undirected
137	333	1	Undirected
263	478	1	Undirected
1	72	1	Undirected
349	359	1	Undirected
33	172	1	Undirected
64	185	5	Undirected
28	95	1	Undirected
201	289	1	Undirected
92	233	3	Undirected
97	126	1	Undirected
28	431	1	Undirected
5	64	1	Undirected
123	228	1	Undirected
147	283	1	Undirected
75	446	1	Undirected
141	155	1	Undirected
42	64	1	Undirected
267	271	1	Undirected
55	224	1	Undirected
186	411	1	Undirected
138	429	1	Undirected
134	281	1	Undirected
446	454	1	Undirected
282	285	1	Undirected
145	374	1	Undirected
72	252	1	Undirected
163	167	1	Undirected
93	472	2	Undirected
40	70	2	Undirected
145	273	1	Undirected
93	246	1	Undirected
222	233	1	Undirected
236	346	1	Undirected
6	112	5	Undirected
100	126	3	Undirected
187	282	1	Undirected
94	137	1	Undirected
84	158	1	Undirected
24	37	1	Undirected
102	513	1	Undirected
256	346	1	Undirected
46	306	1	Undirected
26	199	3	Undirected
122	216	2	Undirected
2	308	1	Undirected
117	460	1	Undirected
75	268	4	Undirected
110	290	1	Undirected
121	415	2	Undirected
410	422	1	Undirected
34	115	1	Undirected
39	108	3	Undirected
424	429	1	Undirected
119	501	1	Undirected
241	243	1	Undirected
1	75	1	Undirected
52	63	1	Undirected
9	303	1	Undirected
33	210	1	Undirected
96	279	1	Undirected
23	107	6	Undirected
343	350	1	Undirected
208	440	1	Undirected
6	251	1	Undirected
109	461	1	Undirected
48	366	1	Undirected
313	455	1	Undirected
107	108	2	Undirected
305	321	1	Undirected
46	486	1	Undirected
34	234	1	Undirected
60	152	7	Undirected
175	186	6	Undirected
77	234	1	Undirected
28	343	1	Undirected
299	304	1	Undirected
209	233	1	Undirected
10	35	11	Undirected
98	312	1	Undirected
2	229	1	Undirected
209	213	1	Undirected
210	434	1	Undirected
119	217	3	Undirected
107	302	1	Undirected
107	150	4	Undirected
141	447	1	Undirected
63	303	1	Undirected
130	297	3	Undirected
458	461	1	Undirected
23	263	2	Undirected
112	422	1	Undirected
238	245	1	Undirected
110	301	1	Undirected
147	216	1	Undirected
268	363	1	Undirected
104	251	1	Undirected
63	85	1	Undirected
28	223	1	Undirected
353	364	1	Undirected
297	445	1	Undirected
101	135	1	Undirected
382	385	1	Undirected
63	265	4	Undirected
131	166	2	Undirected
242	274	1	Undirected
109	153	2	Undirected
87	102	1	Undirected
120	221	1	Undirected
50	116	1	Undirected
188	196	1	Undirected
267	273	1	Undirected
437	462	1	Undirected
61	74	1	Undirected
185	204	1	Undirected
91	111	3	Undirected
175	208	2	Undirected
9	205	1	Undirected
213	471	1	Undirected
55	242	4	Undirected
97	427	1	Undirected
323	330	1	Undirected
187	309	1	Undirected
36	352	1	Undirected
83	314	2	Undirected
2	446	1	Undirected
276	446	1	Undirected
259	272	1	Undirected
457	465	1	Undirected
166	363	1	Undirected
112	401	1	Undirected
34	106	1	Undirected
72	242	6	Undirected
454	467	1	Undirected
213	441	1	Undirected
143	197	1	Undirected
215	468	2	Undirected
54	98	9	Undirected
99	134	3	Undirected
90	100	1	Undirected
130	183	1	Undirected
46	354	1	Undirected
6	523	1	Undirected
277	280	1	Undirected
64	301	1	Undirected
28	248	1	Undirected
44	45	1	Undirected
122	312	1	Undirected
2	68	1	Undirected
92	152	5	Undirected
60	334	1	Undirected
93	114	2	Undirected
34	175	8	Undirected
91	213	2	Undirected
282	424	1	Undirected
321	322	1	Undirected
314	315	1	Undirected
10	286	1	Undirected
111	215	3	Undirected
212	318	1	Undirected
74	318	1	Undirected
206	278	1	Undirected
7	61	1	Undirected
77	242	7	Undirected
152	478	1	Undirected
128	165	1	Undirected
135	219	1	Undirected
137	217	3	Undirected
32	240	1	Undirected
83	211	1	Undirected
96	415	1	Undirected
119	375	2	Undirected
74	223	1	Undirected
64	527	1	Undirected
74	110	6	Undirected
34	483	1	Undirected
189	197	1	Undirected
38	39	1	Undirected
76	482	1	Undirected
10	185	6	Undirected
225	246	1	Undirected
16	458	1	Undirected
75	217	1	Undirected
55	240	1	Undirected
4	38	1	Undirected
88	110	3	Undirected
210	277	1	Undirected
342	356	1	Undirected
210	511	1	Undirected
6	128	7	Undirected
14	39	1	Undirected
70	328	1	Undirected
23	78	8	Undirected
20	62	1	Undirected
64	439	1	Undirected
141	518	1	Undirected
180	184	1	Undirected
78	234	1	Undirected
145	376	1	Undirected
76	205	1	Undirected
99	103	1	Undirected
120	463	1	Undirected
142	331	2	Undirected
78	265	1	Undirected
122	147	5	Undirected
210	291	1	Undirected
98	272	1	Undirected
134	404	1	Undirected
35	445	1	Undirected
44	456	1	Undirected
186	421	1	Undirected
28	349	1	Undirected
3	297	3	Undirected
138	430	1	Undirected
92	289	2	Undirected
50	148	1	Undirected
55	180	1	Undirected
121	517	1	Undirected
145	377	1	Undirected
64	363	2	Undirected
98	421	1	Undirected
70	88	3	Undirected
